Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1985,12,     161271,       2119,          23,         139,         535,       1422,      12332,       4058,       6827,       1447,       1313.9,          14.3,          86.2,         331.7,         881.7,       7646.8,       2516.3,       4233.2,         897.2
1986,12,     161978,       2394,          21,         147,         623,       1603,      13870,       4585,       7397,       1888,       1478.0,          13.0,          90.8,         384.6,         989.6,       8562.9,       2830.6,       4566.7,       1165.6
1987,12,     163098,       2377,          31,         160,         680,       1506,      14295,       4550,       7994,       1751,       1457.4,          19.0,          98.1,         416.9,         923.4,       8764.7,       2789.7,       4901.3,       1073.6
1988,12,     162270,       2251,          37,         146,         730,       1338,      14662,       5084,       8057,       1521,       1387.2,          22.8,          90.0,         449.9,         824.6,       9035.6,       3133.0,       4965.2,         937.3
1989,12,     161756,       2358,          44,         147,         788,       1379,      15035,       4513,       8280,       2242,       1457.8,          27.2,          90.9,         487.2,         852.5,       9294.9,       2790.0,       5118.8,       1386.0
1990,12,     149767,       2890,          28,         167,         965,       1730,      15583,       3867,       8742,       2974,       1929.7,          18.7,         111.5,         644.3,       1155.1,      10404.8,       2582.0,       5837.1,       1985.8
1991,12,     150819,       2790,          44,         182,       1039,       1525,      15154,       4170,       8469,       2515,       1849.9,          29.2,         120.7,         688.9,       1011.1,      10047.8,       2764.9,       5615.3,       1667.6
1992,12,     152511,       2646,          60,         178,         899,       1509,      14544,       4198,       8221,       2125,       1735.0,          39.3,         116.7,         589.5,         989.4,       9536.4,       2752.6,       5390.4,       1393.3
1993,6,     147438,       1181,          18,          67,         391,         705,       5959,       1682,       3217,       1060,,,,,,,,,
2004,12,     146399,       1014,          37,         107,         349,         521,      13068,       1820,       9023,       2225,         692.6,          25.3,          73.1,         238.4,         355.9,       8926.3,       1243.2,       6163.3,       1519.8
2005,12,     145491,       1166,          37,         100,         416,         613,      10678,       1842,       5924,       2912,         801.4,          25.4,          68.7,         285.9,         421.3,       7339.3,       1266.1,       4071.7,       2001.5
2006,12,     145229,       1245,          45,          91,         439,         670,      10281,       2265,       5691,       2325,         857.3,          31.0,          62.7,         302.3,         461.3,       7079.2,       1559.6,       3918.6,       1600.9
2007,12,     143371,       1149,          20,          91,         489,         549,       9717,       2269,       5431,       2017,         801.4,          13.9,          63.5,         341.1,         382.9,       6777.5,       1582.6,       3788.1,       1406.8
2008,9,     141771,         697,          23,          59,         229,         386,       6134,       1498,       3470,       1166,,,,,,,,,
2009,12,     142102,         940,          35,          80,         318,         507,       7742,       1918,       4744,       1080,         661.5,          24.6,          56.3,         223.8,         356.8,       5448.2,       1349.7,       3338.4,         760.0
2010,12,     145786,         823,          25,          62,         289,         447,       7735,       1922,       4684,       1129,         564.5,          17.1,          42.5,         198.2,         306.6,       5305.7,       1318.4,       3212.9,         774.4
2011,12,     146712,         947,          27,          95,         291,         534,       7883,       1827,       4792,       1264,         645.5,          18.4,          64.8,         198.3,         364.0,       5373.1,       1245.3,       3266.3,         861.6
2012,12,     147201,         877,          15,          85,         277,         500,       7538,       1772,       4558,       1208,         595.8,          10.2,          57.7,         188.2,         339.7,       5120.9,       1203.8,       3096.4,         820.6
